1 1 1 H Hydrogen 240,255,143
2 1 18 He Helium 192,255,255
3 2 1 Li Lithium 255,102,102
4 2 2 Be Beryllium 255,222,173
5 2 13 B Boron 204,204,153
6 2 14 C Carbon 240,255,143
7 2 15 N Nitrogen 240,255,143
8 2 16 O Oxygen 240,255,143
9 2 17 F Fluorine 240,255,143
10 2 18 Ne Neon 192,255,255
11 3 1 Na Sodium 255,102,102
12 3 2 Mg Magnesium 255,222,173
13 3 13 Al Aluminium 204,204,204
14 3 14 Si Silicon 204,204,153
15 3 15 P Phosphorus 240,255,143
16 3 16 S Sulfur 240,255,143
17 3 17 Cl Chlorine 240,255,143
18 3 18 Ar Argon 192,255,255
19 4 1 K Potassium 255,102,102
20 4 2 Ca Calcium 255,222,173
21 4 3 Sc Scandium 255,192,192
22 4 4 Ti Titanium 255,192,192
23 4 5 V Vanadium 255,192,192
24 4 6 Cr Chromium 255,192,192
25 4 7 Mn Manganese 255,192,192
26 4 8 Fe Iron 255,192,192
27 4 9 Co Cobalt 255,192,192
28 4 10 Ni Nickel 255,192,192
29 4 11 Cu Copper 255,192,192
30 4 12 Zn Zinc 204,204,204
31 4 13 Ga Gallium 204,204,204
32 4 14 Ge Germanium 204,204,153
33 4 15 As Arsenic 204,204,153
34 4 16 Se Selenium 240,255,143
35 4 17 Br Bromine 240,255,143
36 4 18 Kr Krypton 192,255,255
37 5 1 Rb Rubidium 255,102,102
38 5 2 Sr Strontium 255,222,173
39 5 3 Y Yttrium 255,192,192
40 5 4 Zr Zirconium 255,192,192
41 5 5 Nb Niob 255,192,192
42 5 6 Mo Molybdenum 255,192,192
43 5 7 Tc Technetium 255,192,192
44 5 8 Ru Ruthenium 255,192,192
45 5 9 Rh Rhodium 255,192,192
46 5 10 Pd Palladium 255,192,192
47 5 11 Ag Silver 255,192,192
48 5 12 Cd Cadmium 204,204,204
49 5 13 In Indium 204,204,204
50 5 14 Sn Tin 204,204,204
51 5 15 Sb Antimony 204,204,153
52 5 16 Te Tellurium 204,204,153
53 5 17 I Iodine 240,255,143
54 5 18 Xe Xenon 192,255,255
55 6 1 Cs Caesium 255,102,102
56 6 2 Ba Barium 255,222,173
57 6 3 La Lanthanum 255,191,255
58 6 3 Ce Cerium 255,191,255
59 6 3 Pr Praseodym 255,191,255
60 6 3 Nd Neodym 255,191,255
61 6 3 Pm Promethium 255,191,255
62 6 3 Sm Samarium 255,191,255
63 6 3 Eu Europium 255,191,255
64 6 3 Gd Gadolinium 255,191,255
65 6 3 Tb Terbium 255,191,255
66 6 3 Dy Dysprosium 255,191,255
67 6 3 Ho Holmium 255,191,255
68 6 3 Er Erbium 255,191,255
69 6 3 Tm Thulium 255,191,255
70 6 3 Yb Ytterbium 255,191,255
71 6 3 Lu Lutetium 255,191,255
72 6 4 Hf Hafnium 255,192,192
73 6 5 Ta Tantalum 255,192,192
74 6 6 W Tungsten 255,192,192
75 6 7 Re Rhenium 255,192,192
76 6 8 Os Osmium 255,192,192
77 6 9 Ir Iridium 255,192,192
78 6 10 Pt Platinum 255,192,192
79 6 11 Au Gold 255,192,192
80 6 12 Hg Mercury 204,204,204
81 6 13 Tl Thallium 204,204,204
82 6 14 Pb Lead 204,204,204
83 6 15 Bi Bismuth 204,204,204
84 6 16 Po Polonium 204,204,204
85 6 17 At Astatine 204,204,204
86 6 18 Rn Radon 192,255,255
87 7 1 Fr Francium 255,102,102
88 7 2 Ra Radium 255,222,173
89 7 3 Ac Actinium 255,153,204
90 7 3 Th Thorium 255,153,204
91 7 3 Pa Protactinium 255,153,204
92 7 3 U Uranium 255,153,204
93 7 3 Np Neptunium 255,153,204
94 7 3 Pu Plutonium 255,153,204
95 7 3 Am Americium 255,153,204
96 7 3 Cm Curium 255,153,204
97 7 3 Bk Berkelium 255,153,204
98 7 3 Cf Californium 255,153,204
99 7 3 Es Einsteinium 255,153,204
100 7 3 Fm Fermium 255,153,204
101 7 3 Md Mendelevium 255,153,204
102 7 3 No Nobelium 255,153,204
103 7 3 Lr Lawrencium 255,153,204
104 7 4 Rf Rutherfordium 255,192,192
105 7 5 Db Dubnium 255,192,192
106 7 6 Sg Seaborgium 255,192,192
107 7 7 Bh Bohrium 255,192,192
108 7 8 Hs Hassium 255,192,192
109 7 9 Mt Meitnerium 232,232,232
110 7 10 Ds Darmstadtium 232,232,232
111 7 11 Rg Roentgenium 232,232,232
112 7 12 Cp Copernicium 232,232,232
113 7 13 Nh Nihonium 232,232,232
114 7 14 Fl Flerovium 232,232,232
115 7 15 Mc Moscovium 232,232,232
116 7 16 Lv Livermorium 232,232,232
117 7 17 Ts Tenessine 232,232,232
118 7 18 Og Oganesson 232,232,232
